symbol,articlesInLastWeek,companyNewsScore,bearishPercent,bullishPercent,averageSentimentScore,totalArticles,sectorAverageBullishPercent,sectorAverageNewsScore,sector,marketCap,peRatio,price
JFB,3,0.574,0.0,1.0,0.1481,3,0.0,0.0,Unknown,0.0,0.0,0.0
ACEL,3,0.574,0.0,0.3333,0.1479,3,0.0,0.0,Unknown,0.0,0.0,0.0
AEYE,8,0.5739,0.0,0.75,0.1477,8,0.0,0.0,Unknown,0.0,0.0,0.0
NEE,8,0.5739,0.0,0.75,0.1477,8,0.6583,0.6078,Utilities,140491210752.0,25.56,68.24
AMAT,5,0.5738,0.0,0.6,0.1476,5,0.5672,0.5757,Technology,128058613760.0,19.41,159.57
MBS,11,0.5737,0.0,0.7273,0.1474,11,0.0,0.0,Unknown,0.0,0.0,0.0
UEC,6,0.5736,0.0,0.5,0.1471,6,0.0,0.0,Unknown,0.0,0.0,0.0
FIVN,6,0.5734,0.0,0.6667,0.1467,6,0.0,0.0,Unknown,0.0,0.0,0.0
WAVE,4,0.5732,0.0,0.5,0.1464,4,0.0,0.0,Unknown,0.0,0.0,0.0
RKLB,6,0.5731,0.0,0.5,0.1463,6,0.0,0.0,Unknown,0.0,0.0,0.0
DE,6,0.5731,0.0,0.5,0.1461,6,0.5128,0.5687,Industrials,137794174976.0,24.55,507.69
XXRP,3,0.5729,0.0,1.0,0.1458,3,0.0,0.0,Unknown,0.0,0.0,0.0
DBD,5,0.5726,0.0,0.6,0.1452,5,0.0,0.0,Unknown,0.0,0.0,0.0
PFS,6,0.5722,0.0,0.6667,0.1445,6,0.0,0.0,Unknown,0.0,0.0,0.0
JELD,3,0.5722,0.0,1.0,0.1444,3,0.0,0.0,Unknown,0.0,0.0,0.0
SGN,5,0.5721,0.0,0.6,0.1442,5,0.0,0.0,Unknown,0.0,0.0,0.0
TASK,12,0.572,0.0833,0.6667,0.144,12,0.0,0.0,Unknown,0.0,0.0,0.0
EDF,3,0.572,0.0,1.0,0.1439,3,0.0,0.0,Unknown,0.0,0.0,0.0
ABB,4,0.5719,0.0,0.5,0.1437,4,0.0,0.0,Unknown,0.0,0.0,0.0
FTBI,4,0.5719,0.0,1.0,0.1437,4,0.0,0.0,Unknown,0.0,0.0,0.0
FLEX,3,0.5718,0.3333,0.6667,0.1435,3,0.0,0.0,Unknown,0.0,0.0,0.0
ENB,8,0.5714,0.0,0.75,0.1428,8,0.0,0.0,Unknown,0.0,0.0,0.0
PKX,4,0.5714,0.0,0.5,0.1429,4,0.0,0.0,Unknown,0.0,0.0,0.0
MSI,3,0.5714,0.0,0.6667,0.1427,3,0.5672,0.5757,Technology,69543886848.0,34.75,416.64
CTV,3,0.5713,0.0,1.0,0.1426,3,0.0,0.0,Unknown,0.0,0.0,0.0
CCWOF,3,0.5712,0.0,0.6667,0.1424,3,0.0,0.0,Unknown,0.0,0.0,0.0
WFC,9,0.5711,0.0,0.5556,0.1422,9,0.3882,0.5556,Financial Services,238938177536.0,13.21,73.42
CPAY,4,0.571,0.0,0.25,0.1419,4,0.5672,0.5757,Technology,23198320640.0,23.11,329.08
SUN,5,0.5709,0.0,0.6,0.1417,5,0.0,0.0,Unknown,0.0,0.0,0.0
NIO,13,0.5708,0.0,0.7692,0.1415,13,0.0,0.0,Unknown,0.0,0.0,0.0
NOAH,5,0.5708,0.0,0.4,0.1416,5,0.0,0.0,Unknown,0.0,0.0,0.0
